line;code;canonical name;category;type;family code;family;sortkey?;autodetect?;exceptional?;script codes;other names;standard characters
1427;cnt;Tepetotutla Chinantec;Tepetotutla Chinantec language;;omq-chi;Chinantecan;;;;Latn;;
1428;cnu;Chenoua;Chenoua language;;ber;Berber;;;;;;
1429;cnw;Ngawn Chin;Ngawn Chin language;;tbq-kuk;Kukish;;;;;;
1430;cnx;Middle Cornish;Middle Cornish language;;cel-bry;Brythonic;;;;Latn;;
1431;co;Corsican;Corsican language;;roa-itd;Italo-Dalmatian;;;;Latn;;
1432;coa;Cocos Islands Malay;Cocos Islands Malay language;;crp;creole or pidgin;;;;Latn;;
1433;cob;Chicomuceltec;Chicomuceltec language;;myn;Mayan;;;;Latn;;
1434;coc;Cocopa;Cocopa language;;nai-yuc;Yuman-Cochimí;;;;Latn;;
1435;cod;Cocama;Cocama language;;tup;Tupian;;;;Latn;Kokama,Kokáma,Cocama-Cocamilla,Kukama-Kukamiria,Cocamilla,Kokamíya,Cocaima;
1436;coe;Koreguaje;Koreguaje language;;sai-tuc;Tucanoan;;;;Latn;;
1437;cof;Tsafiki;Tsafiki language;;sai-bar;Barbacoan;;;;Latn;Colorado,Tsáchila;
1438;cog;Chong;Chong language;;mkh-pea;Pearic;sortkey;;;Thai,Khmr;;
1439;coh;Chichonyi-Chidzihana-Chikauma;Chichonyi-Chidzihana-Chikauma language;;bnt-mij;Mijikenda;;;;Latn;;
1440;coj;Cochimi;Cochimi language;;nai-yuc;Yuman-Cochimí;;;;Latn;;
1441;cok;Santa Teresa Cora;Santa Teresa Cora language;;azc;Uto-Aztecan;;;;Latn;;
1442;col;Columbia-Wenatchi;Columbia-Wenatchi language;;sal;Salishan;;;;Latn;Columbia-Wenatchee,Columbia-Moses,Nxaamxcin,Wenatchi,Wenatchee;
1443;com;Comanche;Comanche language;;azc-num;Numic;;;;Latn;;
1444;con;Cofán;Cofán language;;qfa-iso;isolate;;;;Latn;Cofan,Kofan,Kofane,A'ingae,Maku,Macu;
1445;coo;Comox;Comox language;;sal;Salishan;;;;Latn;;
1446;cop;Coptic;Coptic language;;egx;Egyptian;sortkey;autodetect;;Copt;;
1447;coq;Coquille;Coquille language;;ath-pco;Pacific Coast Athabaskan;;;;Latn;;
1448;cot;Caquinte;Caquinte language;;awd;Arawakan;;;;Latn;;
1449;cou;Wamey;Wamey language;;alv-ten;Tenda;;;;Latn;;
1450;cov;Cao Miao;Cao Miao language;;qfa-tak;Kra-Dai;;;;;;
1451;cow;Cowlitz;Cowlitz language;;sal;Salishan;;;;Latn;;
1452;cox;Nanti;Nanti language;;awd;Arawakan;;;;Latn;;
1453;coy;Coyaima;Coyaima language;;sai-car;Cariban;;;;Latn;;
1454;coz;Chochotec;Chochotec language;;omq-pop;Popolocan;;;;Latn;Chocho,Chocholtec;
1455;cpa;Palantla Chinantec;Palantla Chinantec language;;omq-chi;Chinantecan;;;;Latn;;
1456;cpb;Ucayali-Yurúa Ashéninka;Ucayali-Yurúa Ashéninka language;;awd;Arawakan;;;;Latn;;
1457;cpc;Ajyíninka Apurucayali;Ajyíninka Apurucayali language;;awd;Arawakan;;;;Latn;;
1458;cpe-mar;Maroon Spirit Language;Maroon Spirit Language;;crp;creole or pidgin;;;exceptional;Latn;Jamaican Maroon Spirit Possession Language;
1459;cpe-spp;Samoan Plantation Pidgin;Samoan Plantation Pidgin language;;crp;creole or pidgin;;;exceptional;Latn;;
1460;cpg;Cappadocian Greek;Cappadocian Greek language;;grk;Hellenic;sortkey;autodetect;;Grek,fa-Arab;;
1461;cpi;Chinese Pidgin English;Chinese Pidgin English language;;crp;creole or pidgin;;;;Latn;;
1462;cpn;Cherepon;Cherepon language;;alv-gng;Guang;;;;Latn;Chiripon,Chiripong,Kyerepong,Okere;
1463;cpo;Kpee;Kpee language;;dmn-jje;Jogo-Jeri;;;;;Kpeego,Kpeen,Numu;
1464;cps;Capiznon;Capiznon language;;phi;Philippine;;;;Latn;;
1465;cpu;Pichis Ashéninka;Pichis Ashéninka language;;awd;Arawakan;;;;Latn;;
1466;cpx;Puxian;Puxian language;;zhx-min-hai;Coastal Min;;;;Hani;Pu-Xian,Puxian Min,Pu-Xian Min,Pu Xian,Pu Xian Chinese,Putian,Xinghua,Hinghwa;
1467;cpy;South Ucayali Ashéninka;South Ucayali Ashéninka language;;awd;Arawakan;;;;Latn;;
1468;cqd;Chuanqiandian Cluster Miao;Chuanqiandian Cluster Miao language;;hmn;Hmong;;;;Latn,Plrd;;
1469;cr;Cree;Cree language;;alg;Algonquian;;;;Cans,Latn;;
1470;cra;Chara;Chara language;;omv;Omotic;;;;Latn;;
1471;crb;Island Carib;Island Carib language;;awd-taa;Ta-Arawakan;;;;Latn;;
1472;crc;Lonwolwol;Lonwolwol language;;poz-oce;Oceanic;;;;Latn;;
1473;crd;Coeur d'Alene;Coeur d'Alene language;;sal;Salishan;;;;Latn;;
1474;crf;Caramanta;Caramanta language;;sai-chc;Chocoan;;;;Latn;;
1475;crg;Michif;Michif language;;qfa-mix;mixed;;;;Latn;;
1476;crh;Crimean Tatar;Crimean Tatar language;;trk-kcu;Kipchak-Cuman;;;;Latn,Cyrl;;
1477;cri;Sãotomense;Sãotomense language;;crp;creole or pidgin;;;;Latn;;
1478;crj;Southern East Cree;Southern East Cree language;;alg;Algonquian;;;;Cans;;
1479;crk;Plains Cree;Plains Cree language;;alg;Algonquian;;;;Cans,Latn;;
1480;crl;Northern East Cree;Northern East Cree language;;alg;Algonquian;;;;Cans;;
1481;crm;Moose Cree;Moose Cree language;;alg;Algonquian;;;;Cans;;
1482;crn;Cora;Cora language;;azc;Uto-Aztecan;;;;Latn;;
1483;cro;Crow;Crow language;;sio-mor;Missouri River Siouan;;;;Latn;Apsalooke;
1484;crp-gep;West Greenlandic Pidgin;West Greenlandic Pidgin language;;crp;creole or pidgin;;;exceptional;Latn;;
1485;crp-mpp;Macau Pidgin Portuguese;Macau Pidgin Portuguese language;;crp;creole or pidgin;;;exceptional;Hani,Latn;;
1486;crp-rsn;Russenorsk;Russenorsk language;;crp;creole or pidgin;;;exceptional;Cyrl,Latn;;
1487;crp-tpr;Taimyr Pidgin Russian;Taimyr Pidgin Russian language;;crp;creole or pidgin;;;exceptional;Cyrl;;
1488;crq;Iyo'wujwa Chorote;Iyo'wujwa Chorote language;;sai-mtc;Matacoan;;;;Latn;;
1489;crr;Carolina Algonquian;Carolina Algonquian language;;alg-eas;Eastern Algonquian;;;;Latn;;
1490;crs;Seychellois Creole;Seychellois Creole language;;crp;creole or pidgin;;;;Latn;;
1491;crt;Iyojwa'ja Chorote;Iyojwa'ja Chorote language;;sai-mtc;Matacoan;;;;Latn;;
1492;crv;Chaura;Chaura language;;aav-nic;Nicobarese;;;;;Tutet;
1493;crw;Chrau;Chrau language;;mkh-ban;Bahnaric;;;;Latn;;
1494;crx;Carrier;Carrier language;;ath-nor;North Athabaskan;;;;Latn,Cans;;
1495;cry;Cori;Cori language;;nic-plc;Central Plateau;;;;Latn;;
1496;crz;Cruzeño;Cruzeño language;;nai-chu;Chumashan;;;;Latn;;
1497;cs;Czech;Czech language;;zlw;West Slavic;sortkey;;;Latn;;
1498;csa;Chiltepec Chinantec;Chiltepec Chinantec language;;omq-chi;Chinantecan;;;;Latn;;
1499;csb;Kashubian;Kashubian language;;zlw-lch;Lechitic;;;;Latn;;
1500;csc;Catalan Sign Language;Catalan Sign Language;;sgn;sign;;;;Latn;;
1501;csd;Chiangmai Sign Language;Chiangmai Sign Language;;sgn;sign;;;;;;
1502;cse;Czech Sign Language;Czech Sign Language;;sgn;sign;;;;Latn;;
1503;csf;Cuban Sign Language;Cuban Sign Language;;sgn;sign;;;;Latn;;
1504;csg;Chilean Sign Language;Chilean Sign Language;;sgn;sign;;;;Latn;;
1505;csh;Asho Chin;Asho Chin language;;tbq-kuk;Kukish;;;;;;
1506;csi;Coast Miwok;Coast Miwok language;;nai-you;Yok-Utian;;;;Latn;;
1507;csj;Songlai Chin;Songlai Chin language;;tbq-kuk;Kukish;;;;;;
1508;csk;Jola-Kasa;Jola-Kasa language;;alv-jol;Jola;;;;Latn;;
1509;csl;Chinese Sign Language;Chinese Sign Language;;sgn;sign;;;;;;
1510;csm;Central Sierra Miwok;Central Sierra Miwok language;;nai-you;Yok-Utian;;;;Latn;;
1511;csn;Colombian Sign Language;Colombian Sign Language;;sgn;sign;;;;Latn;;
1512;cso;Sochiapam Chinantec;Sochiapam Chinantec language;;omq-chi;Chinantecan;;;;Latn;;
1513;csq;Croatian Sign Language;Croatian Sign Language;;sgn;sign;;;;;;
1514;csr;Costa Rican Sign Language;Costa Rican Sign Language;;sgn;sign;;;;Latn;;
1515;css;Southern Ohlone;Southern Ohlone language;;nai-you;Yok-Utian;;;;Latn;Mutsun,San Juan Bautista Costanoan,Rumsien,San Carlos Costanoan,Carmeleno;
1516;cst;Northern Ohlone;Northern Ohlone language;;nai-you;Yok-Utian;;;;Latn;;
1517;csu-bba-pro;Proto-Bongo-Bagirmi;Proto-Bongo-Bagirmi language;reconstructed;csu-bba;Bongo-Bagirmi;;;exceptional;Latinx;;
1518;csu-maa-pro;Proto-Mangbetu;Proto-Mangbetu language;reconstructed;csu-maa;Mangbetu;;;exceptional;Latinx;;
1519;csu-pro;Proto-Central Sudanic;Proto-Central Sudanic language;reconstructed;csu;Central Sudanic;;;exceptional;Latinx;;
1520;csu-sar-pro;Proto-Sara;Proto-Sara language;reconstructed;csu-sar;Sara;;;exceptional;Latinx;;
1521;csv;Sumtu Chin;Sumtu Chin language;;tbq-kuk;Kukish;;;;;;
1522;csw;Swampy Cree;Swampy Cree language;;alg;Algonquian;;;;Latn,Cans;;
1523;csy;Siyin Chin;Siyin Chin language;;tbq-kuk;Kukish;;;;;;
1524;csz;Coos;Coos language;;nai-coo;Coosan;;;;Latn;Hanis,Hanis Coos;
1525;cta;Tataltepec Chatino;Tataltepec Chatino language;;omq-cha;Chatino;;;;Latn;;
1526;ctc;Chetco-Tolowa;Chetco-Tolowa language;;ath-pco;Pacific Coast Athabaskan;;;;Latn;Chetco,Siletz Dee-ni,Deeni,Tututni,Siletz;
1527;ctd;Tedim Chin;Tedim Chin language;;tbq-kuk;Kukish;;;;Latn,Pauc;Tedim,Tiddim,Sukte;
1528;cte;Tepinapa Chinantec;Tepinapa Chinantec language;;omq-chi;Chinantecan;;;;Latn;;
1529;ctg;Chittagonian;Chittagonian language;;inc-eas;Eastern Indo-Aryan;;;;Beng;;
1530;cth;Thaiphum Chin;Thaiphum Chin language;;tbq-kuk;Kukish;;;;;;
1531;ctl;Tlacoatzintepec Chinantec;Tlacoatzintepec Chinantec language;;omq-chi;Chinantecan;;;;Latn;;
1532;ctm;Chitimacha;Chitimacha language;;qfa-iso;isolate;;;;Latn;;
1533;ctn;Chhintange;Chhintange language;;sit-kie;Eastern Kiranti;;;;Deva;;
1534;cto;Emberá-Catío;Emberá-Catío language;;sai-chc;Chocoan;;;;Latn;;
1535;ctp;Western Highland Chatino;Western Highland Chatino language;;omq-cha;Chatino;sortkey;autodetect;;Latn;;
1536;ctp-san;San Juan Quiahije Chatino;San Juan Quiahije Chatino language;;omq-cha;Chatino;;;exceptional;Latinx;;
1537;cts;Northern Catanduanes Bicolano;Northern Catanduanes Bicolano language;;phi;Philippine;;;;Latn;;
1538;ctt;Wayanad Chetti;Wayanad Chetti language;;dra;Dravidian;;;;Taml;;
1539;ctu;Chol;Chol language;;myn;Mayan;;;;Latn;;
1540;ctz;Zacatepec Chatino;Zacatepec Chatino language;;omq-cha;Chatino;;;;Latn;;
1541;cu;Old Church Slavonic;Old Church Slavonic language;;zls;South Slavic;sortkey;autodetect;;Cyrs,Glag;;
1542;cua;Cua;Cua language;;mkh-ban;Bahnaric;;;;Latn;;
1543;cub;Cubeo;Cubeo language;;sai-tuc;Tucanoan;;;;Latn;;
1544;cuc;Usila Chinantec;Usila Chinantec language;;omq-chi;Chinantecan;;;;Latn;;
1545;cug;Cung;Cung language;;nic-bbe;Eastern Beboid;;;;Latn;Chung,Chungmboko,Chung-Mboko,Mboko;
1546;cuh;Chuka;Chuka language;;bnt-kka;Kikuyu-Kamba;;;;Latn;;
1547;cui;Cuiba;Cuiba language;;sai-guh;Guahiban;;;;Latn;;
1548;cuj;Mashco Piro;Mashco Piro language;;awd;Arawakan;;;;Latn;;
1549;cuk;Kuna;Kuna language;;cba;Chibchan;;;;Latn;;
1550;cul;Culina;Culina language;;auf;Arauan;;;;Latn;Kulina,Kulína,Kulyna,Curina,Corina,Korina,Culina-Madijá,Madijá,Madija,Madiha,Madihá;
1551;cuo;Cumanagoto;Cumanagoto language;;sai-cpc;Chapacuran;;;;Latn;Cumanogota,Cumana,Cumaná,Kumana,Kumaná;
1552;cup;Cupeño;Cupeño language;;azc-cup;Cupan;;;;Latn;;
1553;cuq;Cun;Cun language;;qfa-lic;Hlai;;;;Latn;Gelong;
1554;cur;Chhulung;Chhulung language;;sit-kie;Eastern Kiranti;;;;Deva;;
1555;cus-ash;Ashraaf;Ashraaf language;;cus-eas;East Cushitic;;;exceptional;Latn;Ashraf,Af-Ashraaf;
1556;cus-hec-pro;Proto-Highland East Cushitic;Proto-Highland East Cushitic language;reconstructed;cus-hec;Highland East Cushitic;;;exceptional;Latinx;;
1557;cus-pro;Proto-Cushitic;Proto-Cushitic language;reconstructed;cus;Cushitic;;;exceptional;Latinx;;
1558;cut;Teutila Cuicatec;Teutila Cuicatec language;;omq-cui;Cuicatec;;;;Latn;;
1559;cuu;Tai Ya;Tai Ya language;;qfa-tak;Kra-Dai;;;;Latn;;
1560;cuv;Cuvok;Cuvok language;;cdc-cbm;Central Chadic;;;;Latn;;
1561;cuw;Chukwa;Chukwa language;;sit-kic;Central Kiranti;;;;;;
1562;cux;Tepeuxila Cuicatec;Tepeuxila Cuicatec language;;omq-cui;Cuicatec;;;;Latn;;
1563;cuy;Cuitlatec;Cuitlatec language;;qfa-iso;isolate;;;;Latn;;
1564;cv;Chuvash;Chuvash language;;trk-ogr;Oghur;;;;Cyrl;;
1565;cvg;Chug;Chug language;;sit-khb;Kho-Bwa;;;;;;
1566;cvn;Valle Nacional Chinantec;Valle Nacional Chinantec language;;omq-chi;Chinantecan;;;;Latn;;
1567;cwa;Kabwa;Kabwa language;;bnt-lok;Logooli-Kuria;;;;Latn;;
1568;cwb;Maindo;Maindo language;;bnt-mak;Makua;;;;Latn;;
1569;cwd;Woods Cree;Woods Cree language;;alg;Algonquian;;;;Latn,Cans;;
1570;cwe;Kwere;Kwere language;;bnt-ruv;Ruvu;;;;Latn;;
1571;cwg;Chewong;Chewong language;;mkh-asl;Aslian;;;;Latn;;
1572;cwt;Kuwaataay;Kuwaataay language;;alv-jol;Jola;;;;Latn;;
1573;cy;Welsh;Welsh language;;cel-bry;Brythonic;sortkey;;;Latn;;standard characters
1574;cya;Nopala Chatino;Nopala Chatino language;;omq-cha;Chatino;;;;Latn;;
1575;cyb;Cayubaba;Cayubaba language;;qfa-iso;isolate;;;;Latn;;
1576;cyo;Cuyunon;Cuyunon language;;phi;Philippine;;;;Latn;;
1577;czh;Huizhou;Huizhou language;;zhx;Sinitic;;;;Hani;;
1578;czk;Knaanic;Knaanic language;;zlw;West Slavic;;;;Hebr;;
1579;czn;Zenzontepec Chatino;Zenzontepec Chatino language;;omq-cha;Chatino;;;;Latn;;
1580;czo;Min Zhong;Min Zhong language;;zhx-min-shn;Inland Min;;;;Hani;;
1581;czt;Zotung Chin;Zotung Chin language;;tbq-kuk;Kukish;;;;Latn;;
1582;da;Danish;Danish language;;gmq;North Germanic;;;;Latn;;
1583;daa;Dangaléat;Dangaléat language;;cdc-est;East Chadic;;;;Latn;;
1584;dac;Dambi;Dambi language;;poz-ocw;Western Oceanic;;;;Latn;;
1585;dad;Marik;Marik language;;poz-ocw;Western Oceanic;;;;Latn;;
1586;dae;Duupa;Duupa language;;alv-dur;Duru;;;;Latn;;
1587;dag;Dagbani;Dagbani language;;nic-dag;Dagbani;;;;Latn;;
1588;dah;Gwahatike;Gwahatike language;;ngf-fin;Finisterre;;;;Latn;;
1589;dai;Day;Day language;;alv-mbd;Mbum-Day;;;;Latn;;
1590;daj;Dar Fur Daju;Dar Fur Daju language;;sdv-daj;Daju;;;;Latn;;
1591;dak;Dakota;Dakota language;;sio-dkt;Dakotan;;;;Latn;;
1592;dal;Dahalo;Dahalo language;;cus;Cushitic;;;;Latn;;
1593;dam;Damakawa;Damakawa language;;nic-knn;Northwest Kainji;;;;Latn;;
1594;dao;Daai Chin;Daai Chin language;;tbq-kuk;Kukish;;;;Latn;;
1595;daq;Dandami Maria;Dandami Maria language;;dra;Dravidian;;;;;Bison-Horn Maria,Madia,Madiya,Maria (India),Maria;
1596;dar;Dargwa;Dargwa language;;cau-drg;Dargwa;;;;Cyrl;;
1597;das;Daho-Doo;Daho-Doo language;;kro-wee;Wee;;;;Latn;;
1598;dau;Dar Sila Daju;Dar Sila Daju language;;sdv-daj;Daju;;;;Latn;;
1599;dav;Taita;Taita language;;bnt-cht;Chaga-Taita;;;;Latn;;
1600;daw;Davawenyo;Davawenyo language;;phi;Philippine;;;;Latn;;
1601;dax;Dayi;Dayi language;;aus-yol;Yolngu;;;;Latn;;
1602;daz;Dao;Dao language;;ngf;Trans-New Guinea;;;;Latn;;
1603;dba;Bangime;Bangime language;;qfa-iso;isolate;;;;Latn;;
1604;dbb;Deno;Deno language;;cdc-wst;West Chadic;;;;Latn;;
1605;dbd;Dadiya;Dadiya language;;alv-wjk;Waja-Kam;;;;Latn;;
1606;dbe;Dabe;Dabe language;;paa-tkw;Tor-Kwerba;;;;Latn;;
1607;dbf;Edopi;Edopi language;;paa-lkp;Lakes Plain;;;;Latn;;
1608;dbg;Dogul Dom;Dogul Dom language;;nic-npd;North Plateau Dogon;;;;Latn;;
1609;dbi;Doka;Doka language;;nic-plc;Central Plateau;;;;Latn;;
1610;dbj;Ida'an;Ida'an language;;poz-san;Sabahan;;;;Latn;;
1611;dbl;Dyirbal;Dyirbal language;;aus-dyb;Dyirbalic;;;;Latn;;
1612;dbm;Duguri;Duguri language;;nic-jrw;Jarawa;;;;Latn;;
1613;dbn;Duriankere;Duriankere language;;ngf-sbh;South Bird's Head;;;;Latn;;
1614;dbo;Dulbu;Dulbu language;;nic-jrn;Jarawan;;;;Latn;;
1615;dbp;Duwai;Duwai language;;cdc-wst;West Chadic;;;;Latn;;
1616;dbq;Daba;Daba language;;cdc-cbm;Central Chadic;;;;Latn;;
1617;dbr;Dabarre;Dabarre language;;cus-eas;East Cushitic;;;;;;
1618;dbt;Ben Tey;Ben Tey language;;nic-nwa;Nanga-Walo;;;;Latn;;
1619;dbu;Bondum Dom Dogon;Bondum Dom Dogon language;;nic-npd;North Plateau Dogon;;;;Latn;;
1620;dbv;Dungu;Dungu language;;nic-kau;Kauru;;;;Latn;;
1621;dbw;Bankan Tey Dogon;Bankan Tey Dogon language;;nic-nwa;Nanga-Walo;;;;Latn;;
1622;dby;Dibiyaso;Dibiyaso language;;ngf;Trans-New Guinea;;;;Latn;;
1623;dcc;Deccani;Deccani language;;inc-hnd;Hindustani;;;;ur-Arab;;
1624;dcr;Negerhollands;Negerhollands language;;crp;creole or pidgin;;;;Latn;;
1625;dda;Dadi Dadi;Dadi Dadi language;;aus-pam;Pama-Nyungan;;;;Latn;;
1626;ddd;Dongotono;Dongotono language;;sdv-lma;Lotuko-Maa;;;;;;
1627;dde;Doondo;Doondo language;;bnt-kng;Kongo;;;;Latn;;
1628;ddg;Fataluku;Fataluku language;;qfa-tap;Timor-Alor-Pantar;;;;Latn;;
1629;ddi;Diodio;Diodio language;;poz-ocw;Western Oceanic;;;;Latn;;
1630;ddj;Jaru;Jaru language;;aus-pam;Pama-Nyungan;;;;Latn;;
1631;ddn;Dendi;Dendi language;;son;Songhay;;;;Latn;Dandawa,Dendi (West Africa),Dendi (Benin);
1632;ddo;Tsez;Tsez language;;cau-tsz;Tsezian;;;;Cyrl;;
1633;ddr;Dhudhuroa;Dhudhuroa language;;aus-pam;Pama-Nyungan;;;;Latn;Yaitmathang;
1634;dds;Donno So Dogon;Donno So Dogon language;;nic-dge;Escarpment Dogon;;;;Latn;;
1635;ddw;Dawera-Daweloor;Dawera-Daweloor language;;poz-tim;Timoric;;;;Latn;;
1636;de;German;German language;;gmw;West Germanic;sortkey;;;Latn,Latf;;standard characters
1637;dec;Dagik;Dagik language;;alv-tal;Talodi;;;;Latn;;
1638;ded;Dedua;Dedua language;;ngf;Trans-New Guinea;;;;Latn;;
1639;dee;Dewoin;Dewoin language;;kro-wkr;Western Kru;;;;Latn;;
1640;def;Dezfuli;Dezfuli language;;ira-swi;Southwestern Iranian;;;;;;
1641;deg;Degema;Degema language;;alv-dlt;Delta Edoid;;;;Latn;;
1642;deh;Dehwari;Dehwari language;;ira-swi;Southwestern Iranian;;;;;;
1643;dei;Demisa;Demisa language;;paa-egb;East Geelvink Bay;;;;Latn;;
1644;dek;Dek;Dek language;;;;;;Latn;;
1645;dem;Dem;Dem language;;paa;Papuan;;;;Latn;;
1646;den;Slavey;Slavey language;;ath-nor;North Athabaskan;;;;Latn;;
1647;dep;Pidgin Delaware;Pidgin Delaware language;;crp;creole or pidgin;;;;Latn;;
1648;der;Deori;Deori language;;tbq-bdg;Bodo-Garo;;;;Beng,Latn;;
1649;des;Desano;Desano language;;sai-tuc;Tucanoan;;;;Latn;;
1650;dev;Domung;Domung language;;ngf-fin;Finisterre;;;;Latn;;
1651;dez;Dengese;Dengese language;;bnt-tet;Tetela;;;;Latn;;
1652;dga;Southern Dagaare;Southern Dagaare language;;nic-mre;Moré;;;;Latn;;
1653;dgb;Bunoge;Bunoge language;;nic-dgw;West Dogon;;;;Latn;;
1654;dgc;Casiguran Dumagat Agta;Casiguran Dumagat Agta language;;phi;Philippine;;;;Latn;;
1655;dgd;Dagaari Dioula;Dagaari Dioula language;;nic-mre;Moré;;;;Latn;;
1656;dge;Degenan;Degenan language;;ngf-fin;Finisterre;;;;Latn;;
1657;dgg;Doga;Doga language;;poz-ocw;Western Oceanic;;;;Latn;;
1658;dgh;Dghwede;Dghwede language;;cdc-cbm;Central Chadic;;;;Latn;;
1659;dgi;Northern Dagara;Northern Dagara language;;nic-mre;Moré;;;;Latn;;
1660;dgk;Dagba;Dagba language;;csu-sar;Sara;;;;Latn;;
1661;dgn;Dagoman;Dagoman language;;aus-yng;Yangmanic;;;;Latn;;
1662;dgo;Hindi Dogri;Hindi Dogri language;;him;Western Pahari;;;;Deva,Arab,Takr;;
1663;dgr;Dogrib;Dogrib language;;ath-nor;North Athabaskan;;;;Latn;;
1664;dgs;Dogoso;Dogoso language;;nic-gur;Gur;;;;;;
1665;dgt;Ntra'ngith;Ntra'ngith language;;aus-pam;Pama-Nyungan;;;;Latn;;
1666;dgw;Daungwurrung;Daungwurrung language;;aus-pam;Pama-Nyungan;;;;Latn;;
1667;dgx;Doghoro;Doghoro language;;ngf;Trans-New Guinea;;;;Latn;;
1668;dgz;Daga;Daga language;;ngf;Trans-New Guinea;;;;Latn;;
1669;dhg;Dhangu;Dhangu language;;aus-yol;Yolngu;;;;Latn;;
1670;dhi;Dhimal;Dhimal language;;sit-dhi;Dhimalish;;;;Deva;;
1671;dhl;Dhalandji;Dhalandji language;;aus-psw;Southwest Pama-Nyungan;;;;Latn;;
1672;dhm;Zemba;Zemba language;;bnt-swb;Southwest Bantu;;;;Latn;Dhimba,Dimba,Oludhimba,Oluthimba,Otjidhimba,Simba,Tjimba;
1673;dhn;Dhanki;Dhanki language;;inc-bhi;Bhil;;;;;;
1674;dho;Dhodia;Dhodia language;;inc-bhi;Bhil;;;;Deva;;
1675;dhr;Tharrgari;Tharrgari language;;aus-psw;Southwest Pama-Nyungan;;;;Latn;;
1676;dhs;Dhaiso;Dhaiso language;;bnt-kka;Kikuyu-Kamba;;;;Latn;;
1677;dhu;Dhurga;Dhurga language;;aus-yuk;Yuin-Kuric;;;;Latn;;
1678;dhv;Drehu;Drehu language;;poz-occ;Central-Eastern Oceanic;;;;Latn;;
1679;dhw;Danuwar;Danuwar language;;inc-bhi;Bhil;;;;Deva;Danwar,Dhanwar,Rai;
1680;dhx;Dhungaloo;Dhungaloo language;;aus-pam;Pama-Nyungan;;;;Latn;;
1681;dia;Dia;Dia language;;qfa-tor;Torricelli;;;;Latn;;
1682;dib;South Central Dinka;South Central Dinka language;;sdv-dnu;Dinka-Nuer;;;;Latn;;
1683;dic;Lakota Dida;Lakota Dida language;;kro-did;Dida;;;;Latn;;
1684;did;Didinga;Didinga language;;sdv;Eastern Sudanic;;;;Latn;;
1685;dif;Dieri;Dieri language;;aus-kar;Karnic;;;;Latn;Diyari,Dirari;
1686;dig;Digo;Digo language;;bnt-mij;Mijikenda;;;;Latn;Chidigo;
1687;dii;Dimbong;Dimbong language;;bnt-baf;Bafia;;;;Latn;;
1688;dij;Dai;Dai language;;poz-tim;Timoric;;;;;;
1689;dik;Southwestern Dinka;Southwestern Dinka language;;sdv-dnu;Dinka-Nuer;;;;Latn;;
1690;dil;Dilling;Dilling language;;nub-hil;Hill Nubian;;;;Latn;;
1691;dim;Dime;Dime language;;omv-aro;Aroid;;;;;;
1692;din;Dinka;Dinka language;;sdv-dnu;Dinka-Nuer;;;;Latn;;
1693;dio;Dibo;Dibo language;;alv-ngb;Nupe-Gbagyi;;;;Latn;;
1694;dip;Northeastern Dinka;Northeastern Dinka language;;sdv-dnu;Dinka-Nuer;;;;Latn;;
1695;dir;Dirim;Dirim language;;nic-dak;Dakoid;;;;Latn;;
1696;dis;Dimasa;Dimasa language;;tbq-bdg;Bodo-Garo;;;;Latn,Beng;;
1697;diu;Gciriku;Gciriku language;;bnt-kav;Kavango;;;;Latn;Rumanyo,Dirico,Dciriku,Diriku,Rugciriku;
1698;diw;Northwestern Dinka;Northwestern Dinka language;;sdv-dnu;Dinka-Nuer;;;;Latn;;
1699;dix;Dixon Reef;Dixon Reef language;;poz-vnc;North-Central Vanuatu;;;;Latn;Aveteian;
1700;diy;Diuwe;Diuwe language;;ngf;Trans-New Guinea;;;;;;
1701;diz;Ding;Ding language;;bnt-bdz;Boma-Dzing;;;;Latn;;
1702;dja;Djadjawurrung;Djadjawurrung language;;aus-pam;Pama-Nyungan;;;;Latn;;
1703;djb;Djinba;Djinba language;;aus-yol;Yolngu;;;;Latn;;
1704;djc;Dar Daju Daju;Dar Daju Daju language;;sdv-daj;Daju;;;;Latn;;
1705;djd;Jaminjung;Jaminjung language;;aus-mir;Mirndi;;;;Latn;;
1706;dje;Zarma;Zarma language;;son;Songhay;;;;Latn,Arab,Brai;;
1707;djf;Djangun;Djangun language;;aus-pmn;Paman;;;;Latn;;
1708;dji;Djinang;Djinang language;;aus-yol;Yolngu;;;;Latn;;
1709;djj;Ndjébbana;Ndjébbana language;;aus-arn;Arnhem;;;;Latn;;
1710;djk;Aukan;Aukan language;;crp;creole or pidgin;;;;Latn,Afak;Ndyuka;
1711;djl;Djiwarli;Djiwarli language;;aus-psw;Southwest Pama-Nyungan;;;;Latn;;
1712;djm;Jamsay;Jamsay language;;nic-pld;Plains Dogon;;;;Latn;;
1713;djn;Djauan;Djauan language;;aus-gun;Gunwinyguan;;;;Latn;;
1714;djo;Jangkang;Jangkang language;;day;Land Dayak;;;;;;
1715;djr;Djambarrpuyngu;Djambarrpuyngu language;;aus-yol;Yolngu;;;;Latn;;
1716;dju;Kapriman;Kapriman language;;paa-spk;Sepik;;;;Latn;;
1717;djw;Djawi;Djawi language;;aus-nyu;Nyulnyulan;;;;Latn;;
1718;dka;Dakpa;Dakpa language;;sit-ebo;East Bodish;;;;Tibt;Dakpakha,Takpa,Tawang Monpa;
