line;code;canonical name;category;type;family code;family;sortkey?;autodetect?;exceptional?;script codes;other names;standard characters
64;acv;Achumawi;Achumawi language;;nai-pal;Palaihnihan;;;;Latn;;
65;acw;Hijazi Arabic;Hijazi Arabic language;;sem-arb;Arabic;;autodetect;;Arab;;
66;acx;Omani Arabic;Omani Arabic language;;sem-arb;Arabic;;autodetect;;Arab;;
67;acy;Cypriot Arabic;Cypriot Arabic language;;sem-arb;Arabic;;autodetect;;Latn,Arab;;
68;acz;Acheron;Acheron language;;alv-tal;Talodi;;;;Latn;;
69;ada;Adangme;Adangme language;;alv-gda;Ga-Dangme;;;;Latn;;
70;adb;Adabe;Adabe language;;;;;;Latn;;
71;add;Dzodinka;Dzodinka language;;nic-nka;Nkambe;;;;Latn;Lidzonka;
72;ade;Adele;Adele language;;alv-ntg;Na-Togo;;;;Latn;;
73;adf;Dhofari Arabic;Dhofari Arabic language;;sem-arb;Arabic;;autodetect;;Arab;;
74;adg;Andegerebinha;Andegerebinha language;;aus-pam;Pama-Nyungan;;;;Latn;;
75;adh;Adhola;Adhola language;;sdv-los;Southern Luo;;;;Latn;;
76;adi;Adi;Adi language;;sit-tan;Tani;;;;Latn;Abor,Ashing,Minyong,Mising,Padam,Panggi,Pasi,Shimong,Ajukru;
77;adj;Adioukrou;Adioukrou language;;alv-lag;Lagoon;;;;Latn;;
78;adl;Galo;Galo language;;sit-tan;Tani;;;;Latn;Gallong;
79;adn;Adang;Adang language;;qfa-tap;Timor-Alor-Pantar;;;;Latn;;
80;ado;Abu;Abu language;;paa-ram;Ramu;;;;Latn;Adjora;
81;adp;Adap;Adap language;;sit-tib;Tibetic;;;;Tibt;;
82;adq;Adangbe;Adangbe language;;alv-gda;Ga-Dangme;;;;Latn;Agotime;
83;adr;Adonara;Adonara language;;poz-cet;Central-Eastern Malayo-Polynesian;;;;Latn;;
84;ads;Adamorobe Sign Language;Adamorobe Sign Language;;sgn;sign;;;;Latn;;
85;adt;Adnyamathanha;Adnyamathanha language;;aus-psw;Southwest Pama-Nyungan;;;;Latn;;
86;adu;Aduge;Aduge language;;alv-nwd;Northwestern Edoid;;;;Latn;;
87;adw;Amondawa;Amondawa language;;tup-gua;Tupi-Guarani;;;;Latn;;
88;ady;Adyghe;Adyghe language;;cau-cir;Circassian;;;;Cyrl;West Circassian;
89;adz;Adzera;Adzera language;;poz-ocw;Western Oceanic;;;;Latn;;
90;ae;Avestan;Avestan language;;ira-cen;Central Iranian;;;;Avst,Gujr;;
91;aea;Areba;Areba language;;aus-pam;Pama-Nyungan;;;;Latn;;
92;aeb;Tunisian Arabic;Tunisian Arabic language;;sem-arb;Arabic;;autodetect;;Arab;;
93;aed;Argentine Sign Language;Argentine Sign Language;;sgn;sign;;;;Latn;;
94;aee;Northeast Pashayi;Northeast Pashayi language;;inc-dar;Dardic;;;;Latn;Northeast Pashai,Pashai;
95;aek;Haeke;Haeke language;;poz-cln;New Caledonian;;;;Latn;;
96;ael;Ambele;Ambele language;;nic-grf;Grassfields;;;;Latn;;
97;aem;Arem;Arem language;;mkh-vie;Vietic;;;;Latn;;
98;aen;Armenian Sign Language;Armenian Sign Language;;sgn;sign;;;;;;
99;aeq;Aer;Aer language;;inc-wes;Western Indo-Aryan;;;;Arab;;
100;aer;Eastern Arrernte;Eastern Arrernte language;;aus-pam;Pama-Nyungan;;;;Latn;;
101;aes;Alsea;Alsea language;;;;;;Latn;Yaquina,Yakwina,Alseya,Yakona;
102;aeu;Akeu;Akeu language;;tbq-lol;Loloish;;;;Latn;Chepya;
103;aew;Ambakich;Ambakich language;;paa-ram;Ramu;;;;Latn;Aion,Porapora;
104;aey;Amele;Amele language;;ngf-mad;Madang;;;;Latn;;
105;aez;Aeka;Aeka language;;ngf;Trans-New Guinea;;;;Latn;Aiga,Orokaiva;
106;af;Afrikaans;Afrikaans language;;gmw;West Germanic;sortkey;;;Latn,Arab;;
107;afa-pro;Proto-Afroasiatic;Proto-Afroasiatic language;reconstructed;afa;Afroasiatic;;;exceptional;Latinx;;
108;afb;Gulf Arabic;Gulf Arabic language;;sem-arb;Arabic;;autodetect;;Arab;;
109;afd;Andai;Andai language;;paa-arf;Arafundi;;;;Latn;;
110;afe;Putukwam;Putukwam language;;nic-ben;Bendi;;;;Latn;;
111;afg;Afghan Sign Language;Afghan Sign Language;;sgn;sign;;;;;;
112;afh;Afrihili;Afrihili language;appendix-constructed;art;constructed;;;;Latn;;
113;afi;Akrukay;Akrukay language;;paa-ram;Ramu;;;;Latn;;
114;afk;Nanubae;Nanubae language;;paa-arf;Arafundi;;;;Latn;;
115;afn;Defaka;Defaka language;;nic;Niger-Congo;;;;Latn;;
116;afo;Eloyi;Eloyi language;;nic-plt;Plateau;;;;Latn;;
117;afp;Tapei;Tapei language;;paa-arf;Arafundi;;;;Latn;;
118;afs;Afro-Seminole Creole;Afro-Seminole Creole language;;crp;creole or pidgin;;;;Latn;;
119;aft;Afitti;Afitti language;;sdv-nyi;Nyima;;;;Latn;Affiti,Ditti;
120;afu;Awutu;Awutu language;;alv-gng;Guang;;;;Latn;;
121;afz;Obokuitai;Obokuitai language;;paa-lkp;Lakes Plain;;;;Latn;;
122;aga;Aguano;Aguano language;;;;;;Latn;;
123;agb;Legbo;Legbo language;;nic-uce;East-West Upper Cross River;;;;Latn;;
124;agc;Agatu;Agatu language;;alv-ido;Idomoid;;;;Latn;;
125;agd;Agarabi;Agarabi language;;paa-kag;Kainantu-Goroka;;;;Latn;;
126;age;Angal;Angal language;;paa-eng;Engan;;;;Latn;;
127;agf;Arguni;Arguni language;;poz-cet;Central-Eastern Malayo-Polynesian;;;;Latn;;
128;agg;Angor;Angor language;;paa;Papuan;;;;Latn;;
129;agh;Ngelima;Ngelima language;;bnt-bta;Bati-Angba;;;;Latn;;
130;agi;Agariya;Agariya language;;mun;Munda;;;;Deva;;
131;agj;Argobba;Argobba language;;sem-eth;Ethiopian Semitic;;;;Ethi;;
132;agk;Isarog Agta;Isarog Agta language;;phi;Philippine;;;;Latn;;
133;agl;Fembe;Fembe language;;ngf;Trans-New Guinea;;;;Latn;Agala;
134;agm;Angaataha;Angaataha language;;ngf;Trans-New Guinea;;;;Latn;;
135;agn;Agutaynen;Agutaynen language;;phi-kal;Kalamian;;;;Latn;;
136;ago;Tainae;Tainae language;;ngf;Trans-New Guinea;;;;Latn;;
137;agq;Aghem;Aghem language;;nic-rnw;Western Ring;;;;Latn;;
138;agr;Aguaruna;Aguaruna language;;sai-jiv;Jivaroan;;;;Latn;;
139;ags;Esimbi;Esimbi language;;nic-bds;Southern Bantoid;;;;Latn;;
140;agt;Central Cagayan Agta;Central Cagayan Agta language;;phi;Philippine;;;;Latn;;
141;agu;Aguacateca;Aguacateca language;;myn;Mayan;;;;Latn;;
142;agv;Remontado Agta;Remontado Agta language;;phi;Philippine;;;;Latn;Remontado Dumagat,Sinauna,Hatang Kayey;
143;agw;Kahua;Kahua language;;poz-sls;Southeast Solomonic;;;;Latn;;
144;agx;Aghul;Aghul language;;cau-lzg;Lezghian;;;;Cyrl;;
145;agy;Southern Alta;Southern Alta language;;phi;Philippine;;;;Latn;;
146;agz;Mount Iriga Agta;Mount Iriga Agta language;;phi;Philippine;;;;Latn;;
147;aha;Ahanta;Ahanta language;;alv-ctn;Central Tano;;;;Latn;;
148;ahb;Axamb;Axamb language;;poz-vnc;North-Central Vanuatu;;;;Latn;;
149;ahg;Qimant;Qimant language;;cus-cen;Central Cushitic;;;;Latn;;
150;ahh;Aghu;Aghu language;;ngf;Trans-New Guinea;;;;Latn;;
151;ahi;Tiagbamrin Aizi;Tiagbamrin Aizi language;;kro-aiz;Aizi;;;;Latn;;
152;ahk;Akha;Akha language;;tbq-lol;Loloish;sortkey;;;Latn,Mymr,Thai;;
153;ahl;Igo;Igo language;;alv-ktg;Ka-Togo;;;;Latn;;
154;ahm;Mobumrin Aizi;Mobumrin Aizi language;;kro-aiz;Aizi;;;;Latn;;
155;ahn;Àhàn;Àhàn language;;alv-aah;Ayere-Ahan;;;;Latn;;
156;aho;Ahom;Ahom language;;tai-swe;Southwestern Tai;;;;Ahom;;
157;ahp;Aproumu Aizi;Aproumu Aizi language;;alv-kwa;Kwa;;;;Latn;;
158;ahr;Ahirani;Ahirani language;;inc-wes;Western Indo-Aryan;;;;Deva;Khandeshi,Khandesi;
159;ahs;Ashe;Ashe language;;nic-plc;Central Plateau;;;;Latn;;
160;aht;Ahtna;Ahtna language;;ath-nor;North Athabaskan;;;;Latn;;
161;aia;Arosi;Arosi language;;poz-sls;Southeast Solomonic;;;;Latn;;
162;aib;Aynu;Aynu language;;trk-kar;Karluk;;;;Arab,Latn;Ainu,Äynu,Ainu (China),Aini,Eyni,Ejnu,Abdal,Äynú;
163;aic;Ainbai;Ainbai language;;paa-brd;Border;;;;Latn;;
164;aid;Alngith;Alngith language;;aus-pmn;Paman;;;;Latn;;
165;aie;Amara;Amara language;;poz-ocw;Western Oceanic;;;;Latn;;
166;aif;Agi;Agi language;;qfa-tor;Torricelli;;;;Latn;;
167;aig;Antigua and Barbuda Creole English;Antigua and Barbuda Creole English language;;crp;creole or pidgin;;;;Latn;Leeward Caribbean Creole English,Antiguan Creole English,Kokoy Creole English,Saint Kitts Creole,Montserrat Creole,Anguillan Creole;
168;aih;Ai-Cham;Ai-Cham language;;qfa-kms;Kam-Sui;;;;Latn,Hani;;
169;aii;Assyrian Neo-Aramaic;Assyrian Neo-Aramaic language;;sem-nna;Northeastern Neo-Aramaic;;autodetect;;Syrc;;
170;aij;Lishanid Noshan;Lishanid Noshan language;;sem-nna;Northeastern Neo-Aramaic;;;;Hebr;;
171;aik;Ake;Ake language;;nic-pls;South Plateau;;;;Latn;;
172;ail;Aimele;Aimele language;;ngf;Trans-New Guinea;;;;Latn;;
173;aim;Aimol;Aimol language;;tbq-kuk;Kukish;;;;Latn,Beng;;
174;ain;Ainu;Ainu language;;qfa-iso;isolate;;;;Kana,Latn,Cyrl;;
175;aio;Aiton;Aiton language;;tai-swe;Southwestern Tai;;autodetect;;Mymr;;
176;aip;Burumakok;Burumakok language;;ngf-okk;Ok;;;;Latn;;
177;air;Airoran;Airoran language;;paa-tkw;Tor-Kwerba;;;;Latn;;
178;ait;Arikem;Arikem language;;tup;Tupian;;;;Latn;;
179;aiw;Aari;Aari language;;omv-aro;Aroid;;;;Latn;;
180;aix;Aighon;Aighon language;;poz-ocw;Western Oceanic;;;;Latn;;
181;aiy;Ali;Ali language;;alv-gbf;Eastern Gbaya;;;;Latn;;
182;aja;Aja;Aja language;;csu-bkr;Birri-Kresh;;;;Latn;;
183;ajg;Adja;Adja language;;alv-gbe;Gbe;;;;Latn;;
184;aji;Ajië;Ajië language;;poz-cln;New Caledonian;;;;Latn;Houailou;
185;ajn;Andajin;Andajin language;;aus-wor;Worrorran;;;;Latn;;
186;ajp;South Levantine Arabic;South Levantine Arabic language;;sem-arb;Arabic;;autodetect;;Arab;;
187;ajw;Ajawa;Ajawa language;;cdc-wst;West Chadic;;;;Latn;;
188;ajz;Amri Karbi;Amri Karbi language;;tbq-kuk;Kukish;;;;Latn;;
189;ak;Akan;Akan language;;alv-ctn;Central Tano;;;;Latn;;
190;akb;Angkola Batak;Angkola Batak language;;btk;Batak;;;;Latn,Batk;;
191;akc;Mpur;Mpur language;;paa-wpa;West Papuan;;;;Latn;;
192;akd;Ukpet-Ehom;Ukpet-Ehom language;;nic-ucr;Upper Cross River;;;;Latn;;
193;ake;Akawaio;Akawaio language;;sai-pem;Pemongan;;;;Latn;;
194;akf;Akpa;Akpa language;;alv-ido;Idomoid;;;;Latn;;
195;akg;Anakalangu;Anakalangu language;;poz-cet;Central-Eastern Malayo-Polynesian;;;;Latn;;
196;akh;Angal Heneng;Angal Heneng language;;paa-eng;Engan;;;;Latn;;
197;aki;Aiome;Aiome language;;paa;Papuan;;;;Latn;;
198;akj;Jeru;Jeru language;;qfa-adn;Northern Great Andamanese;;;;Latn,Deva;Aka-Jeru;
199;akk;Akkadian;Akkadian language;;sem-eas;East Semitic;;;;Xsux,Latn;;
200;akl;Aklanon;Aklanon language;;phi;Philippine;;;;Latn;Aklan,Akeanon;
201;akm;Aka-Bo;Aka-Bo language;;qfa-adn;Northern Great Andamanese;;;;Latn;Ba,Bo;
202;ako;Akurio;Akurio language;;sai-tar;Taranoan;;;;Latn;;
203;akp;Siwu;Siwu language;;alv-ntg;Na-Togo;;;;Latn;;
204;akq;Ak;Ak language;;paa;Papuan;;;;Latn;;
205;akr;Araki;Araki language;;poz-vnc;North-Central Vanuatu;;;;Latn;;
206;aks;Akaselem;Akaselem language;;nic-grm;Gurma;;;;Latn;Tchamba,Akasele,Tsamba;
207;akt;Akolet;Akolet language;;poz-ocw;Western Oceanic;;;;Latn;;
208;aku;Akum;Akum language;;nic-ykb;Yukubenic;;;;Latn;;
209;akv;Akhvakh;Akhvakh language;;cau-ava;Avaro-Andian;;;;Cyrl;;
210;akw;Akwa;Akwa language;;bnt-mbo;Mboshi;;;;Latn;;
211;akx;Aka-Kede;Aka-Kede language;;qfa-adc;Central Great Andamanese;;;;Latn;Kede;
212;aky;Aka-Kol;Aka-Kol language;;qfa-adc;Central Great Andamanese;;;;Latn;Kol,Kawl,Aka-Kawl,Bojingiji;
213;akz;Alabama;Alabama language;;nai-mus;Muskogean;;;;Latn;;
214;ala;Alago;Alago language;;alv-ido;Idomoid;;;;Latn;;
215;alc;Kawésqar;Kawésqar language;;aqa;Alacalufan;;;;Latn;Qawasqar,Alacaluf;
216;ald;Alladian;Alladian language;;alv-lag;Lagoon;;;;Latn;Alladyan,Allagian,Alaguian;
217;ale;Aleut;Aleut language;;esx;Eskimo-Aleut;;;;Latn;;
218;alf;Alege;Alege language;;nic-ben;Bendi;;;;Latn;;
219;alg-aga;Agawam;Agawam language;;alg-eas;Eastern Algonquian;;;exceptional;Latn;;
220;alg-pro;Proto-Algonquian;Proto-Algonquian language;reconstructed;alg;Algonquian;sortkey;;exceptional;Latinx;;
